finaidname,finaidlink,finaidtype,studylevel,familyincome,cgpa,major
Biasiswa Persekutuan Ijazah Sarjana Muda Pendidikan (ISMP) Ambilan Sesi 2023,https://www.biasiswamalaysia.com/biasiswa-kpm-ijazah-sarjana-muda-pendidikan-ismp/,Scholarship ,degree,all,0,all
Biasiswa PIDM Undergraduate,https://www.biasiswamalaysia.com/biasiswa-pidm-undergraduate/,Scholarship ,degree,all,0,all
Biasiswa Sarawak Energy Scholarship 2023,https://www.biasiswamalaysia.com/biasiswa-sarawak-energy-scholarship/,Scholarship ,all,all,0,all
Biasiswa Senheng Education Assistance (SEA) Program,https://sys.senheng.com.my/educationassistance_apply/,Scholarship ,"degree,master",all,0,all
Biasiswa Suruhanjaya Perkhidmatan Air Negara (SPAN) Scholarship 2022,https://www.biasiswamalaysia.com/biasiswa-suruhanjaya-perkhidmatan-air-negara-span-scholarship/,Scholarship ,degree,all,3.5,all
Biasiswa The IJM Scholarship,The IJM Scholarship | IJM Corporation Berhad,Scholarship ,degree,all,3,all
Biasiswa TNB PRIME Scholarship,YAYASAN TENAGA NASIONAL (office.com),Scholarship ,degree,all,3.5,all
Biasiswa Top Glove Scholarship,https://www.biasiswamalaysia.com/biasiswa-top-glove-scholarship/,Scholarship ,degree,all,3.5,all
Biasiswa Tunku Abdul Rahman (BTAR) 2023,https://www.biasiswamalaysia.com/biasiswa-tunku-abdul-rahman-btar/,Scholarship ,degree,all,0,all
Biasiswa Wells Mountain Foundation (WMF),https://www.biasiswamalaysia.com/biasiswa-wells-mountain-foundation-wmf/,Scholarship ,"diploma,degree",all,0,all
Biasiswa Yang Di-Pertuan Agong (BYDPA) 2023,https://www.biasiswamalaysia.com/biasiswa-yang-di-pertuan-agong-bydpa/,Scholarship ,"master,phd",all,0,all
Biasiswa Yayasan Bank Rakyat,https://www.biasiswamalaysia.com/biasiswa-yayasan-bank-rakyat/,Scholarship ,degree,all,3.5,all
Biasiswa Yayasan Bank Rakyat | Pembiayaan Pendidikan Boleh Ubah (PPBU),https://www.biasiswamalaysia.com/yayasan-bank-rakyat-pembiayaan-pendidikan-boleh-ubah-ppbu/,Study Loan,"diploma,degree,master,phd",all,0,all
Biasiswa Yayasan KLK Scholarship,https://www.biasiswamalaysia.com/biasiswa-yayasan-klk-scholarship/,Scholarship ,degree,all,3.5,all
Biasiswa Yayasan Sime Darby Excellence Scholarship,https://www.biasiswamalaysia.com/biasiswa-yayasan-sime-darby-undergraduate/,Scholarship ,degree,all,0,all
Biasiswa Yayasan Tan Sri Lee Shin Cheng IOI Scholarship,YAYASAN TAN SRI DATO’ LEE SHIN CHENG (ioigroup.com),Scholarship ,degree,all,3.3,all
Biasiswa Yayasan UEM Scholarship Programme,https://www.uem.com.my/yayasanuem_scholarship.aspx,Scholarship ,"degree,masteer,phd",all,0,all
Biasiswa YTL Foundation Scholarship Programme,https://www.biasiswamalaysia.com/biasiswa-ytl-foundation-scholarship-programme/,Scholarship ,degree,"b40,m40",0,all
Hadiah Latihan Persekutuan PPPT,https://www.mohe.gov.my/images/new_logo_kpt_black.svg,One-off Aid,"master,phd",all,0,all
Hadiah Latihan Persekutuan Staf Bukan Akademik,https://www.mohe.gov.my/images/new_logo_kpt_black.svg,One-off Aid,"master,phd",all,0,all
Khazanah Lestari Scholarship Programme,https://www.yayasankhazanah.com.my/scholarship-programmes/khazanah-lestari-scholarship-programme,Scholarship,master,all,0,all
Khazanah Watan Scholarship Programme,Khazanah Watan Scholarship Programme - Scholarship Programmes | Yayasan Khazanah,Scholarship,"foundation,degree, master,phd",all,3.5,all
MRC Scholarship Awards for Undergraduate Studies,https://www.myrubbercouncil.com/scholarships/,Scholarship,"diploma,degree",all,0,all
"MyBrain15 (MyMaster, MyPhD & MyPhD Industri)",https://www.mohe.gov.my/images/new_logo_kpt_black.svg,Study Loan,"master,phd",all,0,all
MyBrainScience,https://www.mohe.gov.my/images/new_logo_kpt_black.svg,Scholarship,"degree,master,phd",all,0,all
Pembiayaan Pendidikan Yayasan ANGKASA,Brochure 2023 Yayasan ANGKASA | Yayasan ANGKASA,Study Loan,"degree,master,phd","b40,m40",3,all
PESTECH CARE Scholarship Program,https://www.biasiswamalaysia.com/pestech-care-scholarship-program/,Scholarship ,"degree,master,phd",all,0,all
Program Graduan Cemerlang (GrEP) Tajaan MARA,https://www.biasiswamalaysia.com/program-graduan-cemerlang/,Study Loan,"master,phd",all,3.5,all
PTPTN,https://www.ptptn.gov.my/pinjaman-pendidikan/,Study Loan,all,all,0,all
Skim Latihan Akademik Bumiputera (SLAB),https://www.mohe.gov.my/images/new_logo_kpt_black.svg,Scholarship,"degree,master,phd",all,0,all
Skim Latihan Akademik IPTA (SLAI),https://www.mohe.gov.my/images/new_logo_kpt_black.svg,Scholarship,"degree,master,phd",all,0,all
Tajaan MARA | Program Penajaan Pengajian Tertiari (TESP),https://www.biasiswamalaysia.com/tajaan-mara-program-penajaan-pengajian-tertiari-tesp/,Study Loan,degree,all,0,all
